Numero Ticket;ItemID;Item;Resumen;Ubicacion;Service Desk;Modo de reporte;Estado;Fecha Creacion;Fecha Termino;Fecha Cierre;Prioridad
WO0000004433289;108;FOCO FLOURESCENTES;CAMBIAR;PLAZA SAN MARTIN - 191004;Zona Centro;Web HD;Cerrado;2023-09-13;20-09-23;20/09/2023;3
WO0000004433308;221;SILLAS;REPARAR;PLAZA CIVICA VENTANILLA - 192026;Zona Centro;Web HD;Cerrado;2023-09-13;19-09-23;19/09/2023;3
WO0000004433379;57;CONTADOR DE MONEDAS;REPARAR;MERCADO DE PRODUCTORES - 191061;Zona Centro;Web HD;Rechazado;2023-09-13;16-09-23;;3
WO0000004433402;108;FOCO FLOURESCENTES;CAMBIAR;ANGELICA GAMARRA - 191057;Zona Centro;Web HD;Cerrado;2023-09-13;13-09-23;13/09/2023;3
WO0000004433407;251;TUBERIA DE AGUA;REPARAR;TUPAC AMARU - 191038;Zona Centro;Web HD;Cerrado;2023-09-13;16-09-23;16/09/2023;3
WO0000004433435;32;CAJA BUZON;REPARAR;LA RAMBLA BRASIL - 191166;Zona Centro;Web HD;Cerrado;2023-09-13;13-09-23;13/09/2023;3
WO0000004433539;188;PUERTA / MAMPARA;REPARAR;TACNA - 540000;Zona Norte;Web HD;Cerrado;2023-09-13;19-09-23;19/09/2023;3
WO0000004433554;128;LAMPARA DE EMERGENCIA;REPARAR;TOTTUS GUIPOR - 191147;Zona Centro;Web HD;Cerrado;2023-09-13;16-09-23;16/09/2023;3
WO0000004433596;42;CAJONERA  CERRADURA;APERTURAR;LA FONTANA - 193054;Zona Centro;Web HD;Cerrado;2023-09-13;18-09-23;18/09/2023;3
WO0000004433731;113;GRUPO ELECTROGENO;REGARGAR COMBUSTIBLE;LA MERCED (AREQUIPA) - 215003;Zona Norte;Web HD;Cerrado;2023-09-13;17-09-23;17/09/2023;3
WO0000004433733;113;GRUPO ELECTROGENO;REVISAR;LA MERCED (AREQUIPA) - 215003;Zona Norte;Web HD;Cerrado;2023-09-13;01-10-23;01/10/2023;3
WO0000004433839;189;PUERTA / MAMPARA  CERRADURA;APERTURAR;LAS MALVINAS - 191076;Zona Centro;Web HD;Cerrado;2023-09-13;13-09-23;13/09/2023;3
WO0000004433925;111;GRIFERIA;REVISAR;SANTO DOMINGO - 191036;Zona Centro;Web HD;Cerrado;2023-09-13;19-09-23;19/09/2023;3
WO0000004433993;251;TUBERIA DE AGUA;REPARAR;PARQUE INDUSTRIAL (AREQUIPA) - 215005;Zona Norte;Web HD;Rechazado;2023-09-13;17-09-23;;3
WO0000004434151;56;CONTADOR DE BILLETES;REPARAR;LA CULTURA - 285006;Zona Norte;Web HD;Cerrado;2023-09-13;16-09-23;16/09/2023;3
WO0000004434243;189;PUERTA / MAMPARA  CERRADURA;APERTURAR;SAN MARCOS - 192081;Zona Centro;Web HD;Cerrado;2023-09-13;19-09-23;19/09/2023;3
WO0000004434307;188;PUERTA / MAMPARA;REPARAR;PURUCHUCO - 191020;Zona Centro;Web HD;Cerrado;2023-09-13;16-09-23;16/09/2023;3
WO0000004434373;134;LETREROS LUMINOSO;REVISAR;CHACLACAYO - 191074;Zona Centro;Web HD;Cerrado;2023-09-13;18-09-23;18/09/2023;3
WO0000004434514;252;TUBERIA DE DESAGUE;REPARAR;LA ENSENADA - 191149;Zona Centro;Web HD;Cerrado;2023-09-13;16-09-23;16/09/2023;3
WO0000004434769;57;CONTADOR DE MONEDAS;REPARAR;NARANJAL - 191141;Zona Centro;Web HD;Rechazado;2023-09-13;16-09-23;;3
WO0000004434786;69;DETECTOR DE BILLETES;REPARAR;PLAZA SAN MARTIN - 191004;Zona Centro;Web HD;Cerrado;2023-09-13;17-09-23;17/09/2023;3
WO0000004434947;231;STICKER;REPONER;ANTUNEZ DE MAYOLO - 191028;Zona Centro;Web HD;Cerrado;2023-09-13;18-09-23;18/09/2023;3
WO0000004435003;188;PUERTA / MAMPARA;REPARAR;ICA - 380000;Zona Centro;Web HD;Cerrado;2023-09-13;18-09-23;18/09/2023;3
WO0000004435119;106;FOCO AHORRADOR;CAMBIAR;EL CARMEN - 315001;Zona Centro;Web HD;Cerrado;2023-09-13;02-10-23;02/10/2023;3
WO0000004435219;111;GRIFERIA;REVISAR;HUAYRUROPATA - 285008;Zona Norte;Web HD;Cerrado;2023-09-13;16-09-23;16/09/2023;3
WO0000004435225;240;TECHO /BALDOSAS;CAMBIAR;MOQUEGUA - 430000;Zona Norte;Web HD;Rechazado;2023-09-13;17-09-23;;3
WO0000004435308;5;AIRE ACONDICIONADO;REPARAR;PARQUE INDUSTRIAL (AREQUIPA) - 215005;Zona Norte;Web HD;Terminado;2023-09-13;14-12-23;;3
WO0000004435310;108;FOCO FLOURESCENTES;CAMBIAR;CAÑETE - 255000;Zona Centro;Web HD;Cerrado;2023-09-13;20-09-23;20/09/2023;3
WO0000004435338;257;URINARIOS;REVISAR;HUAYRUROPATA - 285008;Zona Norte;Web HD;Cerrado;2023-09-13;18-09-23;18/09/2023;3
WO0000004435351;108;FOCO FLOURESCENTES;CAMBIAR;MOQUEGUA - 430000;Zona Norte;Web HD;Cerrado;2023-09-13;18-09-23;18/09/2023;3
WO0000004435352;122;INODORO TANQUE DE AGUA;REVISAR;MOQUEGUA - 430000;Zona Norte;Web HD;Cerrado;2023-09-13;18-09-23;18/09/2023;3
WO0000004435882;160;PANEL DE ALARMAS;REPARACION;TUSILAGOS - 191108;Zona Centro;NULL;Rechazado;2023-09-14;28-09-23;;1
WO0000004435884;160;PANEL DE ALARMAS;REPARACION;ALFONSO UGARTE - 191089;Zona Centro;NULL;Terminado;2023-09-14;18-09-23;;1
WO0000004435885;160;PANEL DE ALARMAS;REPARACION;TUSILAGOS - 191108;Zona Centro;NULL;Terminado;2023-09-14;14-09-23;;1
WO0000004435887;160;PANEL DE ALARMAS;REPARACION;PROCERES - 191120;Zona Centro;NULL;Terminado;2023-09-14;14-09-23;;1
WO0000004436017;160;PANEL DE ALARMAS;REPARACION;MARIANO MELGAR - 215014;Zona Norte;NULL;Terminado;2023-09-14;14-09-23;;1
WO0000004436019;160;PANEL DE ALARMAS;REPARACION;BELAUNDE - 191018;Zona Centro;NULL;Terminado;2023-09-14;16-09-23;;1
WO0000004436020;160;PANEL DE ALARMAS;REPARACION;PROCERES - 191120;Zona Centro;NULL;Terminado;2023-09-14;14-09-23;;1
WO0000004436021;160;PANEL DE ALARMAS;REPARACION;NAYLAMP - 191143;Zona Centro;NULL;Terminado;2023-09-14;16-09-23;;1
WO0000004436022;160;PANEL DE ALARMAS;REPARACION;EL SOL - 191082;Zona Centro;NULL;Terminado;2023-09-14;16-09-23;;1
WO0000004436024;160;PANEL DE ALARMAS;REPARACION;CANTO GRANDE - 191096;Zona Centro;NULL;Terminado;2023-09-14;14-10-23;;3
WO0000004436026;160;PANEL DE ALARMAS;REPARACION;CANTO GRANDE - 191096;Zona Centro;NULL;Terminado;2023-09-14;14-10-23;;1
WO0000004436028;160;PANEL DE ALARMAS;REPARACION;LA PLANICIE - 193045;Zona Centro;NULL;Terminado;2023-09-14;14-09-23;14/09/2023;1
WO0000004436090;57;CONTADOR DE MONEDAS;REPARAR;MENDIOLA - 191078;Zona Centro;Web HD;Cerrado;2023-09-14;18-09-23;18/09/2023;3
WO0000004436111;123;INODOROS;REVISAR;LOS ALISOS - 191080;Zona Centro;Web HD;Cerrado;2023-09-14;16-09-23;16/09/2023;3
WO0000004436115;42;CAJONERA  CERRADURA;DUPLICADO DE LLAVE;NAYLAMP - 191143;Zona Centro;Web HD;Rechazado;2023-09-14;16-09-23;;3
WO0000004436125;117;IMANTADO;CONFECCIONAR;MEGA PLAZA 2 - 191040;Zona Centro;Web HD;Rechazado;2023-09-14;16-09-23;;3
WO0000004436128;108;FOCO FLOURESCENTES;CAMBIAR;JACOBO HUNTER - 215022;Zona Norte;Web HD;Cerrado;2023-09-14;16-09-23;16/09/2023;3
WO0000004436157;189;PUERTA / MAMPARA  CERRADURA;REEMPLAZAR;ANGELICA GAMARRA - 191057;Zona Centro;Web HD;Cerrado;2023-09-14;17-09-23;17/09/2023;3
WO0000004436198;117;IMANTADO;CONFECCIONAR;CAILLOMA - 191098;Zona Centro;Web HD;Rechazado;2023-09-14;18-09-23;;3
WO0000004436226;215;SENSOR DE MAMPARA;REPARAR;CAQUETA - 191091;Zona Centro;Web HD;Cerrado;2023-09-14;17-09-23;17/09/2023;3
WO0000004436234;134;LETREROS LUMINOSO;REVISAR;CAQUETA - 191091;Zona Centro;Web HD;Cerrado;2023-09-14;18-09-23;18/09/2023;3
WO0000004436237;237;TACHO;REPARAR;CAQUETA - 191091;Zona Centro;Web HD;Cerrado;2023-09-14;18-09-23;18/09/2023;3
WO0000004436240;199;PUNTO / CABLE DE RED;REVISAR;CAQUETA - 191091;Zona Centro;Web HD;Cerrado;2023-09-14;18-09-23;18/09/2023;3
WO0000004436241;31;CAJA / TAPA DE PASO;REVISAR;CAQUETA - 191091;Zona Centro;Web HD;Cerrado;2023-09-14;18-09-23;18/09/2023;3
WO0000004436243;42;CAJONERA  CERRADURA;REEMPLAZAR;CAQUETA - 191091;Zona Centro;Web HD;Cerrado;2023-09-14;20-09-23;20/09/2023;3
WO0000004436244;56;CONTADOR DE BILLETES;REPARAR;CAQUETA - 191091;Zona Centro;Web HD;Cerrado;2023-09-14;19-09-23;19/09/2023;3
WO0000004436247;56;CONTADOR DE BILLETES;REPARAR;CAQUETA - 191091;Zona Centro;Web HD;Cerrado;2023-09-14;17-09-23;17/09/2023;3
WO0000004436249;56;CONTADOR DE BILLETES;REPARAR;CAQUETA - 191091;Zona Centro;Web HD;Cerrado;2023-09-14;24-09-23;24/09/2023;3
WO0000004436258;5;AIRE ACONDICIONADO;REPARAR;HUAYCAN - 191085;Zona Centro;Web HD;Cerrado;2023-09-14;23-09-23;23/09/2023;3
WO0000004436302;56;CONTADOR DE BILLETES;REPARAR;CAQUETA - 191091;Zona Centro;Web HD;Cerrado;2023-09-14;23-09-23;23/09/2023;3
WO0000004436304;56;CONTADOR DE BILLETES;REPARAR;PLAZA CIVICA VENTANILLA - 192026;Zona Centro;Web HD;Rechazado;2023-09-14;16-09-23;;3
WO0000004436322;188;PUERTA / MAMPARA;REPARAR;HUAYCAN - 191085;Zona Centro;Web HD;Cerrado;2023-09-14;18-09-23;18/09/2023;3
WO0000004436323;264;VINIL;REPONER;PUENTE PIEDRA - 191035;Zona Centro;Web HD;Rechazado;2023-09-14;16-09-23;;3
WO0000004436384;31;CAJA / TAPA DE PASO;REVISAR;LA PLANICIE - 193045;Zona Centro;Web HD;Cerrado;2023-09-14;18-09-23;18/09/2023;3
WO0000004436385;108;FOCO FLOURESCENTES;CAMBIAR;MARIANO MELGAR - 215014;Zona Norte;Web HD;Cerrado;2023-09-14;16-09-23;16/09/2023;3
WO0000004436391;10;ARMARIO;REPARAR;LAS MALVINAS - 191076;Zona Centro;Web HD;Cerrado;2023-09-14;20-09-23;20/09/2023;3
WO0000004436409;108;FOCO FLOURESCENTES;CAMBIAR;LA PLANICIE - 193045;Zona Centro;Web HD;Cerrado;2023-09-14;19-09-23;19/09/2023;3
WO0000004436445;163;PARED;PINTAR;ALFONSO UGARTE - 191089;Zona Centro;Web HD;Cerrado;2023-09-14;18-09-23;18/09/2023;3
WO0000004436553;160;PANEL DE ALARMAS;REPARACION;JAUREGUI - 405005;Zona Norte;NULL;Terminado;2023-09-15;21-09-23;;3
WO0000004436556;160;PANEL DE ALARMAS;REPARACION;ALTO DE LA ALIANZA - 540004;Zona Norte;NULL;Terminado;2023-09-15;19-09-23;;3
WO0000004436685;160;PANEL DE ALARMAS;REPARACION;ANDAHUAYLAS - 205000;Zona Norte;NULL;Terminado;2023-09-15;26-09-23;;3
WO0000004436687;160;PANEL DE ALARMAS;REPARACION;QUILLABAMBA - 505000;Zona Norte;NULL;Terminado;2023-09-15;10-10-23;;3
WO0000004436688;160;PANEL DE ALARMAS;REPARACION;EL QUINDE ICA - 380008;Zona Centro;NULL;Terminado;2023-09-15;17-09-23;;3
WO0000004436690;160;PANEL DE ALARMAS;REPARACION;LUREN - 380004;Zona Centro;NULL;Terminado;2023-09-15;24-09-23;;3
WO0000004436691;160;PANEL DE ALARMAS;REPARACION;AGUAS CALIENTES - 285004;Zona Norte;NULL;Terminado;2023-09-15;07-10-23;;3
WO0000004436692;160;PANEL DE ALARMAS;REPARACION;PARQUE INDUSTRIAL (AREQUIPA) - 215005;Zona Norte;NULL;Terminado;2023-09-15;23-09-23;;3
WO0000004436693;160;PANEL DE ALARMAS;REPARACION;PUNO - 495000;Zona Norte;NULL;Terminado;2023-09-15;07-10-23;;3
WO0000004436749;160;PANEL DE ALARMAS;REPARACION;PARQUE INDUSTRIAL (AREQUIPA) - 215005;Zona Norte;NULL;Terminado;2023-09-15;18-09-23;;3
WO0000004436751;160;PANEL DE ALARMAS;REPARACION;CUAJONE - 430001;Zona Norte;NULL;Terminado;2023-09-15;07-10-23;;3
WO0000004436752;160;PANEL DE ALARMAS;REPARACION;CAYMA - 215002;Zona Norte;NULL;Terminado;2023-09-15;18-09-23;;3
WO0000004436808;160;PANEL DE ALARMAS;REPARACION;LA MERCED (AREQUIPA) - 215003;Zona Norte;NULL;Terminado;2023-09-15;18-09-23;;3
WO0000004436810;160;PANEL DE ALARMAS;REPARACION;PISCO - 470000;Zona Centro;NULL;Terminado;2023-09-15;17-09-23;;3
WO0000004436753;160;PANEL DE ALARMAS;REPARACION;MOLLENDO - 425000;Zona Norte;NULL;Terminado;2023-09-16;20-09-23;;3
WO0000004436811;160;PANEL DE ALARMAS;REPARACION;CHINCHA - 315000;Zona Centro;NULL;Terminado;2023-09-16;18-09-23;;3
WO0000004437040;160;PANEL DE ALARMAS;REPARACION;TUPAC AMARU - 191038;Zona Centro;NULL;Terminado;2023-09-16;17-09-23;;1
WO0000004437042;160;PANEL DE ALARMAS;REPARACION;LOS DAMASCOS - 193038;Zona Centro;NULL;Terminado;2023-09-16;16-09-23;;1
WO0000004437047;160;PANEL DE ALARMAS;REPARACION;MOLICENTRO - 193004;Zona Centro;NULL;Terminado;2023-09-16;16-09-23;;1
WO0000004437048;160;PANEL DE ALARMAS;REPARACION;EL CARMEN - 315001;Zona Centro;NULL;Terminado;2023-09-16;17-09-23;;3
WO0000004437049;160;PANEL DE ALARMAS;REPARACION;MOLICENTRO - 193004;Zona Centro;NULL;Terminado;2023-09-16;16-09-23;;1
WO0000004437051;160;PANEL DE ALARMAS;REPARACION;PLAZA LIMA NORTE - 191058;Zona Centro;NULL;Terminado;2023-09-16;17-09-23;;3
WO0000004437202;160;PANEL DE ALARMAS;REPARACION;GRAU (LIMA) - 191005;Zona Centro;NULL;Terminado;2023-09-16;16-09-23;;1
WO0000004437203;160;PANEL DE ALARMAS;REPARACION;MOLICENTRO - 193004;Zona Centro;NULL;Terminado;2023-09-16;21-09-23;;1
WO0000004437204;160;PANEL DE ALARMAS;REPARACION;LAS VIÑAS - 193066;Zona Centro;NULL;Terminado;2023-09-16;17-09-23;;1
WO0000004437205;160;PANEL DE ALARMAS;REPARACION;ICA - 380000;Zona Centro;NULL;Terminado;2023-09-16;16-09-23;;1
WO0000004437206;160;PANEL DE ALARMAS;REPARACION;MOLICENTRO - 193004;Zona Centro;NULL;Terminado;2023-09-16;18-09-23;;1
WO0000004437287;56;CONTADOR DE BILLETES;REPARAR;CENTRO CIVICO - 191105;Zona Centro;Web HD;Rechazado;2023-09-16;18-09-23;;3
WO0000004437317;57;CONTADOR DE MONEDAS;REPARAR;MUSA - 193050;Zona Centro;Web HD;Cerrado;2023-09-16;18-09-23;18/09/2023;3
WO0000004437342;148;MOSTRADOR;REPARAR;LA PLANICIE - 193045;Zona Centro;Web HD;Cerrado;2023-09-16;18-09-23;18/09/2023;3
WO0000004437345;227;SISTEMA DE VIDEO;REPARACION;LAS MALVINAS - 191076;Zona Centro;Web HD;Cerrado;2023-09-16;23-09-23;23/09/2023;2
WO0000004437424;35;CAJA PULMON;CAMBIO DE BATERIAS;MINI AGENCIA BCP SALAMANCA - 191090;Zona Centro;Web HD;Cerrado;2023-09-16;16-09-23;16/09/2023;3
WO0000004437509;57;CONTADOR DE MONEDAS;REPARAR;BELAUNDE - 191018;Zona Centro;Web HD;Rechazado;2023-09-16;17-09-23;;3
WO0000004437526;56;CONTADOR DE BILLETES;REPARAR;CENTRO CIVICO - 191105;Zona Centro;Web HD;Rechazado;2023-09-16;18-09-23;;3
WO0000004437578;59;CORTE DE ENERGIA;REVISAR;LAS VIÑAS - 193066;Zona Centro;Web HD;Cerrado;2023-09-16;16-09-23;16/09/2023;3
WO0000004437624;163;PARED;PINTAR;ALFONSO UGARTE - 191089;Zona Centro;Web HD;Rechazado;2023-09-16;16-09-23;;3
WO0000004437652;237;TACHO;REPARAR;CAQUETA - 191091;Zona Centro;Web HD;Rechazado;2023-09-16;16-09-23;;3
WO0000004437800;113;GRUPO ELECTROGENO;REVISAR;ALFONSO UGARTE - 191089;Zona Centro;Web HD;Cerrado;2023-09-16;19-09-23;19/09/2023;3
WO0000004437889;57;CONTADOR DE MONEDAS;REPARAR;LA NEGRITA - 215004;Zona Norte;Web HD;Rechazado;2023-09-16;18-09-23;;3
WO0000004437939;5;AIRE ACONDICIONADO;REPARAR;TOPY TOP - 191049;Zona Centro;Web HD;Cerrado;2023-09-16;14-10-23;14/10/2023;3
WO0000004437979;58;CORTE DE AGUA;REVISAR;TACNA - 540000;Zona Norte;Web HD;Cerrado;2023-09-16;16-09-23;16/09/2023;3
WO0000004437988;189;PUERTA / MAMPARA  CERRADURA;DUPLICADO DE LLAVE;TACNA - 540000;Zona Norte;Web HD;Rechazado;2023-09-16;17-09-23;;3
WO0000004438004;6;ALFOMBRAS;LIMPIAR;MALL AVENTURA PLAZA SANTA ANITA - 191118;Zona Centro;Web HD;Cerrado;2023-09-16;26-09-23;26/09/2023;3
WO0000004438008;221;SILLAS;REPARAR;SANTA LUZMILA - 191063;Zona Centro;Web HD;Cerrado;2023-09-16;23-09-23;23/09/2023;3
WO0000004438011;120;INDECI;REGULATORIO;QUILCA - 191160;Zona Centro;Web HD;Cerrado;2023-09-16;22-10-23;22/10/2023;3
WO0000004438092;160;PANEL DE ALARMAS;REPARACION;ANGELICA GAMARRA - 191057;Zona Centro;NULL;Terminado;2023-09-16;16-09-23;;1
WO0000004438235;106;FOCO AHORRADOR;CAMBIAR;TOTTUS GUIPOR - 191147;Zona Centro;Web HD;Cerrado;2023-09-16;23-09-23;23/09/2023;3
WO0000004438266;185;PRE INDECI;PRE REGULATORIO;CANTO GRANDE - 191096;Zona Centro;Web HD;Terminado;2023-09-16;03-12-23;;3
WO0000004438284;185;PRE INDECI;PRE REGULATORIO;ASIA - 194038;Zona Centro;Web HD;Terminado;2023-09-16;03-12-23;;3
WO0000004438317;56;CONTADOR DE BILLETES;REPARAR;ARGENTINA - 191014;Zona Centro;Web HD;Rechazado;2023-09-16;18-09-23;;3
WO0000004438322;30;CABLEADO;REVISAR;PUERTO MALDONADO - 485000;Zona Norte;Web HD;Cerrado;2023-09-16;19-09-23;19/09/2023;3
WO0000004438527;206;REFLECTOR / LAMPARAS;CAMBIAR;MALA - 255002;Zona Centro;Web HD;Cerrado;2023-09-16;24-09-23;24/09/2023;3
WO0000004438535;189;PUERTA / MAMPARA  CERRADURA;REEMPLAZAR;MOLICENTRO - 193004;Zona Centro;Web HD;Cerrado;2023-09-16;18-09-23;18/09/2023;3
WO0000004438660;185;PRE INDECI;PRE REGULATORIO;MERCADO DE PRODUCTORES - 191061;Zona Centro;Web HD;Terminado;2023-09-16;25-11-23;;3
WO0000004438708;215;SENSOR DE MAMPARA;REPARAR;ANGELICA GAMARRA - 191057;Zona Centro;Web HD;Cerrado;2023-09-16;18-09-23;18/09/2023;3
WO0000004438731;185;PRE INDECI;PRE REGULATORIO;REAL PLAZA CUSCO - 285011;Zona Norte;Web HD;Terminado;2023-09-16;14-02-24;;3
WO0000004438737;226;SISTEMA DE AUDIO;REEMPLAZO;MOLICENTRO - 193004;Zona Centro;Web HD;Rechazado;2023-09-16;17-09-23;;2
WO0000004438747;185;PRE INDECI;PRE REGULATORIO;MOLLENDO - 425000;Zona Norte;Web HD;Terminado;2023-09-16;14-02-24;;3
WO0000004438812;185;PRE INDECI;PRE REGULATORIO;UMACOLLO - 215009;Zona Norte;Web HD;Terminado;2023-09-16;14-02-24;;3
WO0000004438942;251;TUBERIA DE AGUA;REPARAR;PARQUE INDUSTRIAL (AREQUIPA) - 215005;Zona Norte;Web HD;Cerrado;2023-09-16;24-09-23;24/09/2023;3
WO0000004438964;128;LAMPARA DE EMERGENCIA;REPARAR;LA SALLE - 191114;Zona Centro;Web HD;Cerrado;2023-09-16;17-09-23;17/09/2023;3
WO0000004438994;194;PUERTA/MAMPARA MANIJA;REPARAR;CHOSICA - 191075;Zona Centro;Web HD;Cerrado;2023-09-16;17-09-23;17/09/2023;3
WO0000004439024;103;EXTRACTOR DE AIRE;REPARAR;SANTO DOMINGO - 191036;Zona Centro;Web HD;Cerrado;2023-09-16;20-09-23;20/09/2023;3
WO0000004439054;42;CAJONERA  CERRADURA;REEMPLAZAR;SANTO DOMINGO - 191036;Zona Centro;Web HD;Cerrado;2023-09-16;19-09-23;19/09/2023;3
WO0000004439126;113;GRUPO ELECTROGENO;REGARGAR COMBUSTIBLE;ARGENTINA - 191014;Zona Centro;Web HD;Cerrado;2023-09-16;18-09-23;18/09/2023;3
WO0000004439385;32;CAJA BUZON;APERTURAR;GRAU (LIMA) - 191005;Zona Centro;Web HD;Cerrado;2023-09-16;17-09-23;17/09/2023;3
WO0000004439627;57;CONTADOR DE MONEDAS;REPARAR;UNIPLAZA - 191019;Zona Centro;Web HD;Cerrado;2023-09-16;25-09-23;25/09/2023;3
WO0000004439647;57;CONTADOR DE MONEDAS;REPARAR;NARANJAL - 191141;Zona Centro;Web HD;Cerrado;2023-09-16;18-09-23;18/09/2023;3
WO0000004439751;57;CONTADOR DE MONEDAS;REPARAR;AREQUIPA - 215000;Zona Norte;Web HD;Cerrado;2023-09-16;19-09-23;19/09/2023;3
WO0000004439766;57;CONTADOR DE MONEDAS;REPARAR;PLAZA CIVICA VENTANILLA - 192026;Zona Centro;Web HD;Cerrado;2023-09-16;17-09-23;17/09/2023;3
WO0000004439948;6;ALFOMBRAS;LAVAR;NICOLAS AYLLON - 191027;Zona Centro;Web HD;Cerrado;2023-09-16;17-09-23;17/09/2023;3
WO0000004440150;171;PISOS;RESANAR;MONEY AND TOURIST SERVICE - 285007;Zona Norte;Web HD;Cerrado;2023-09-16;18-10-23;18/10/2023;3
WO0000004440270;106;FOCO AHORRADOR;CAMBIAR;JULIACA - 405000;Zona Norte;Web HD;Cerrado;2023-09-16;20-09-23;20/09/2023;3
WO0000004440305;56;CONTADOR DE BILLETES;REPARAR;EL PINO - 191087;Zona Centro;Web HD;Cerrado;2023-09-16;17-09-23;17/09/2023;3
WO0000004440309;148;MOSTRADOR;REPARAR;MONEY AND TOURIST SERVICE - 285007;Zona Norte;Web HD;Cerrado;2023-09-16;21-09-23;21/09/2023;3
WO0000004440327;16;ATRIL;REPARAR;MONEY AND TOURIST SERVICE - 285007;Zona Norte;Web HD;Cerrado;2023-09-16;19-09-23;19/09/2023;3
WO0000004440502;139;LONCHERA CERRADURA;DUPLICADO DE LLAVE;LAS MALVINAS - 191076;Zona Centro;Web HD;Cerrado;2023-09-16;23-09-23;23/09/2023;3
WO0000004440653;30;CABLEADO;REVISAR;EL SOL - 191082;Zona Centro;Web HD;Cerrado;2023-09-16;24-09-23;24/09/2023;3
WO0000004440672;57;CONTADOR DE MONEDAS;REPARAR;PARURO - 191047;Zona Centro;Web HD;Cerrado;2023-09-16;17-09-23;17/09/2023;3
WO0000004440699;167;PERCHERO;REPARAR;LAS MALVINAS - 191076;Zona Centro;Web HD;Rechazado;2023-09-16;24-09-23;;3
WO0000004440706;47;CANDADO;APERTURAR;NACIONES UNIDAS - 191084;Zona Centro;Web HD;Cerrado;2023-09-16;21-09-23;21/09/2023;3
WO0000004440758;117;IMANTADO;CONFECCIONAR;SAN MARCOS - 192081;Zona Centro;Web HD;Cerrado;2023-09-16;18-09-23;18/09/2023;3
WO0000004440819;249;TOMACORRIENTES;REVISAR;AYACUCHO - 220000;Zona Centro;Web HD;Cerrado;2023-09-16;23-09-23;23/09/2023;3
WO0000004440833;192;PUERTA/MAMPARA BRAZO HIDRAULICO;REPARAR;AYACUCHO - 220000;Zona Centro;Web HD;Cerrado;2023-09-16;25-09-23;25/09/2023;3
WO0000004440901;221;SILLAS;REPARAR;LAS MALVINAS - 191076;Zona Centro;Web HD;Cerrado;2023-09-16;20-09-23;20/09/2023;3
WO0000004440912;108;FOCO FLOURESCENTES;CAMBIAR;LAS MALVINAS - 191076;Zona Centro;Web HD;Cerrado;2023-09-16;23-09-23;23/09/2023;3
WO0000004440983;30;CABLEADO;ORDENAR;TACNA - 540000;Zona Norte;Web HD;Cerrado;2023-09-16;19-09-23;19/09/2023;3
WO0000004441064;198;PULSADOR INALAMBRICO;REPARAR;LARAPA - 285005;Zona Norte;Web HD;Cerrado;2023-09-16;19-09-23;19/09/2023;3
WO0000004441105;144;MESAS;REPARAR;IMPERIAL - 255001;Zona Centro;Web HD;Rechazado;2023-09-16;18-09-23;;3
WO0000004441113;42;CAJONERA  CERRADURA;DUPLICADO DE LLAVE;LARAPA - 285005;Zona Norte;Web HD;Cerrado;2023-09-16;18-09-23;18/09/2023;3
WO0000004441129;113;GRUPO ELECTROGENO;REGARGAR COMBUSTIBLE;LARAPA - 285005;Zona Norte;Web HD;Cerrado;2023-09-16;25-09-23;25/09/2023;3
WO0000004441183;56;CONTADOR DE BILLETES;REPARAR;NACIONES UNIDAS - 191084;Zona Centro;Web HD;Cerrado;2023-09-16;19-09-23;19/09/2023;3
WO0000004441393;160;PANEL DE ALARMAS;REPARACION;VITARTE - 191043;Zona Centro;NULL;Terminado;2023-09-17;18-09-23;;1
WO0000004441394;160;PANEL DE ALARMAS;REPARACION;JACOBO HUNTER - 215022;Zona Norte;NULL;Terminado;2023-09-17;19-09-23;;1
WO0000004441399;160;PANEL DE ALARMAS;REPARACION;JACOBO HUNTER - 215022;Zona Norte;NULL;Terminado;2023-09-17;11-10-23;;1
WO0000004441436;160;PANEL DE ALARMAS;REPARACION;AGUAS CALIENTES - 285004;Zona Norte;NULL;Terminado;2023-09-17;17-09-23;;1
WO0000004441570;117;IMANTADO;CONFECCIONAR;EL PEDREGAL - 251000;Zona Norte;Web HD;Rechazado;2023-09-17;18-09-23;;3
WO0000004441688;160;PANEL DE ALARMAS;REPARACION;JULIACA - 405000;Zona Norte;NULL;Terminado;2023-09-17;21-09-23;;1
WO0000004441738;160;PANEL DE ALARMAS;REPARACION;JULIACA - 405000;Zona Norte;NULL;Terminado;2023-09-17;25-09-23;;1
WO0000004441801;160;PANEL DE ALARMAS;REPARACION;VITARTE - 191043;Zona Centro;NULL;Rechazado;2023-09-17;18-09-23;;1
WO0000004441842;160;PANEL DE ALARMAS;REPARACION;IZAGUIRRE - 191154;Zona Centro;NULL;Terminado;2023-09-17;17-09-23;;1
WO0000004441844;146;MODULOS;REPARAR;C.C. MULTIPLAZA - 191077;Zona Centro;Web HD;Cerrado;2023-09-17;20-09-23;20/09/2023;3
WO0000004441875;188;PUERTA / MAMPARA;LIMPIAR;MENDIOLA - 191078;Zona Centro;Web HD;Cerrado;2023-09-17;25-09-23;25/09/2023;3
WO0000004441917;108;FOCO FLOURESCENTES;CAMBIAR;IMPERIAL - 255001;Zona Centro;Web HD;Cerrado;2023-09-17;27-09-23;27/09/2023;3
